Message,Category,Urgency
"Entire hillside road washed away in landslide, vehicles hanging over precipice with passengers trapped inside!","Road","Critical"
"Major concrete road collapse during morning rush hour, multiple vehicles crashed into deep chasm, urgent emergency rescue needed!","Road","Critical"
"Bridge approach road has completely collapsed into river, severed transportation artery, people injured!","Road","Critical"
"Massive crater opened on busy express lane, oil tanker tipped over and spilling fuel across collapsing roadway!","Road","Critical"
"A few dried leaves covering the stormwater gutter grate, water still trickling through slowly.","Drainage","Low"
"Drain inspection chamber lid has slight wobble when stepped on.","Drainage","Low"
"Minor mold smell coming from the storm grate during hot afternoons.","Drainage","Low"
"Small plastic cup stuck in roadside gutter entrance, needs to be cleared.","Drainage","Low"
"Drainage channel edge slightly chipped, no blockage observed.","Drainage","Low"
"Stormwater drain on 5th Avenue is sluggish and backing up slightly onto the curb during rain.","Drainage","Medium"
"Open roadside gutter is half choked with silt and plastic debris, foul water standing stagnant.","Drainage","Medium"
"Drainage ditch overflowing with murky rainwater, spilling onto pedestrian path.","Drainage","Medium"
"Kitchen runoff from nearby food stalls is clogging the neighborhood drain, causing stagnant water.","Drainage","Medium"
"Sewer line emitting bad odor across the lane, likely partial blockage down the road.","Drainage","Medium"
"Main underground sewer line is completely clogged, dark sewage gushing out of manholes onto public road.","Drainage","High"
"Raw sewage overflowing directly into residential apartment basements, intolerable foul stench and contamination.","Drainage","High"
"Sewer overflow has flooded the entire lane with black fecal water, pedestrians cannot leave their houses.","Drainage","High"
"Storm drain collapsed internally, wastewater flooding local market shops and damaging merchandise.","Drainage","High"
"Blocked culvert causing sewage backflow into residential drinking water pipe trench, severe risk of cholera.","Drainage","High"
"Underground sewer exploded, raw toxic sewage and noxious gas flooding primary school classrooms, children falling unconscious!","Drainage","Critical"
"Massive sewer main burst flooding community hospital basement and intensive care ward with hazardous bio-sewage!","Drainage","Critical"
"Toxic hydrogen sulfide gas leaking from completely blocked underground sewer manhole, sanitation workers trapped and unresponsive!","Drainage","Critical"
"Sewage pipe burst contaminated municipal drinking water reservoir, entire neighborhood drinking poisoned water, hundreds sick!","Drainage","Critical"
"Dangerous sewer collapse opened a poisonous cesspool in the middle of school playground with toxic fumes spreading!","Drainage","Critical"
"Drinking water tap in the public garden has a slow drip, needs a washer change.","Water","Low"
"Water pressure in household tap is slightly lower than usual this morning.","Water","Low"
"Public fountain water stream is slightly weak today.","Water","Low"
"Minor condensation leak around the residential water meter pipe connection.","Water","Low"
"Water aerator in community center restroom has slight lime buildup.","Water","Low"
"Municipal water supply was cut off for 6 hours today without any prior announcement.","Water","Medium"
"Tap water appears slightly cloudy and has a faint chlorine smell, cleared after running for a minute.","Water","Medium"
"Water supply pressure is too low to fill overhead tanks on the second floor for the past two days.","Water","Medium"
"Underground municipal valve is leaking potable water slowly onto the roadside verge.","Water","Medium"
"Our street has received water supply for only 30 minutes instead of the scheduled two hours.","Water","Medium"
"Main potable water pipeline fractured on 8th Street, clean drinking water gushing like a fountain, wasting thousands of gallons.","Water","High"
"Tap water coming out completely brown, muddy, and smelling like sewage, entirely unfit for drinking or bathing.","Water","High"
"Drinking water pipeline has broken near open sewage drain, muddy contaminated water entering household taps.","Water","High"
"Entire residential block has received zero water supply for 4 days, residents running out of cooking and drinking water.","Water","High"
"Major municipal water pipe cracked under the road, washing away soil foundation and threatening road collapse.","Water","High"
"Drinking water supply contaminated with lethal chemical effluent, hundreds of citizens experiencing violent vomiting and hospitalized!","Water","Critical"
"Main city water pipeline shattered, violent torrent of high-pressure water blasting through homes and tearing down walls!","Water","Critical"
"Zero drinking water in entire city district for 7 straight days during extreme heatwave, hospitals running dry, life-threatening crisis!","Water","Critical"
"Pumping station failure left regional neonatal ICU and trauma center without any water supply, emergency backup exhausted!","Water","Critical"
"Toxic arsenic or cyanide suspected in city central water reservoir, emergency shutoff and public warning broadcast needed immediately!","Water","Critical"
"Single streetlight blinking intermittently on 14th street, still provides some illumination.","Electricity","Low"
"Street lamp lens is slightly dusty, light output is dimmer than usual.","Electricity","Low"
"Apartment electrical meter box glass cover has a small crack, meter functioning fine.","Electricity","Low"
"Decorative lighting on the public walkway is not turning on in the evening.","Electricity","Low"
"Cable clip loose on overhead low-voltage telephone wire, wire sagging slightly.","Electricity","Low"
"Street lights on our entire block have been completely dark for two consecutive nights, safety concern for pedestrians.","Electricity","Medium"
"Frequent unscheduled power outages lasting 1 to 2 hours every evening in our locality.","Electricity","Medium"
"Severe voltage fluctuations in our neighborhood causing lights to flicker and refrigerator to trip.","Electricity","Medium"
"Power distribution box door on the footpath is unlocked and swinging open, needs lock.","Electricity","Medium"
"Electrical pole leaning slightly towards the sidewalk, needs inspection by line workers.","Electricity","Medium"
"High voltage power cable snapped and lying across sidewalk, active current suspected, pedestrian area.","Electricity","High"
"Major transformer sparking loudly and smoking on utility pole, power out across 500 homes.","Electricity","High"
"Underground electrical cable exploded under sidewalk pavers, burning smell and black soot coming out.","Electricity","High"
"Exposed live wiring hanging down at eye level from broken street light pole near school bus stop.","Electricity","High"
"Frequent high voltage surge destroyed electronic appliances in 20 houses, dangerous burning smell inside homes.","Electricity","High"
"High-voltage 11kV electrical transformer exploded and engulfed in flames, live sparking wires whipped onto wet road and crowded bus!","Electricity","Critical"
"Snapped high-voltage power line fell directly onto a school bus with children trapped inside, sparks and fire bursting!","Electricity","Critical"
"Substation caught fire and exploding, massive electrical blaze spreading to adjacent residential buildings, emergency evacuation!","Electricity","Critical"
"Live fallen electric wire electrocuted a pedestrian on flooded street, wire still dancing and actively electrifying the water!","Electricity","Critical"
"High-power line collapsed across railway crossing, heavy sparking and fire blocking emergency ambulance passage!","Electricity","Critical"
"Public park wooden bench has a loose screw on the backrest.","Infrastructure","Low"
"Slight paint peeling on the community center boundary wall.","Infrastructure","Low"
"Directional signboard on pedestrian walkway has minor scratches and faded letters.","Infrastructure","Low"
"Small hairline crack on the decorative garden retaining wall, no structural issue.","Infrastructure","Low"
"Community notice board glass door hinge is squeaky and loose.","Infrastructure","Low"
"Pavement concrete tiles are broken and dislodged on the walkway, causing tripping hazard for elderly walkers.","Infrastructure","Medium"
"Footpath railing near the canal has a missing bar, needs repair to prevent falls.","Infrastructure","Medium"
"Public bus stop shelter roof has a small leak during heavy rains.","Infrastructure","Medium"
"Children playground swing chain is rusted and worn, should be replaced before it breaks.","Infrastructure","Medium"
"Pedestrian zebra ramp has broken concrete edge, making wheelchair access bumpy and difficult.","Infrastructure","Medium"
"Pedestrian footbridge steel railing is completely sheared off and rusted through, severe danger of pedestrians falling 20 feet below.","Infrastructure","High"
"Concrete chunks falling from underside of highway flyover onto vehicles passing underneath.","Infrastructure","High"
"Public building staircase structural railing broke off, elderly people slipping down steps.","Infrastructure","High"
"Boundary wall of public school is leaning outwards at a dangerous angle, about to collapse onto sidewalk.","Infrastructure","High"
"Overhead pedestrian bridge shaking violently when people walk, large structural cracks visible in the girders.","Infrastructure","High"
"Primary support pillar of busy flyover bridge has cracked through, rebar exposed, bridge sagging, imminent total collapse!","Infrastructure","Critical"
"Roof of public community hall collapsed during crowded gathering, multiple people trapped beneath heavy concrete slabs!","Infrastructure","Critical"
"Retaining wall collapsed onto residential apartment building, crushing ground floor apartments, residents trapped!","Infrastructure","Critical"
"Suspension footbridge cables snapped over river rapids, bridge tilted sideways with tourists clinging to railings!","Infrastructure","Critical"
"Multi-story municipal office building structural columns buckling, loud cracking noises, immediate evacuation required!","Infrastructure","Critical"
"Mild dust blowing from open truck carrying sand without tarpaulin cover.","Pollution","Low"
"Faint smell of dried leaves being burned in a backyard two blocks away.","Pollution","Low"
"Slight vehicle exhaust haze at busy intersection during peak evening rush hour.","Pollution","Low"
"Minor detergent foam observed in stormwater outlet from residential car washing.","Pollution","Low"
"Excessive honking and mild noise from delivery trucks early in the morning.","Pollution","Low"
"Nearby commercial auto repair shop running noisy diesel generator all day, emitting fumes and noise above limits.","Pollution","Medium"
"Apartment complex burning dry garden waste and plastic packaging openly every evening, irritating residents' eyes.","Pollution","Medium"
"Construction site operating without dust suppression sprinklers, covering adjacent homes in thick cement dust.","Pollution","Medium"
"Local restaurant exhausting un-filtered heavy grease smoke directly into residential apartment windows.","Pollution","Medium"
"Loud industrial compressor operating during night hours in quiet residential zone, disturbing sleep.","Pollution","Medium"
"Chemical dye factory releasing dark purple pungent effluent into the community freshwater lake, killing fish.","Pollution","High"
"Heavy black smoke and toxic sulfur fumes spewing from industrial factory chimney all night, residents coughing and wheezing.","Pollution","High"
"Commercial electroplating workshop dumping untreated acidic runoff directly into open public stormwater canal.","Pollution","High"
"Open burning of plastic scrap and rubber tires in vacant lot producing thick black toxic acrid smoke over residential neighborhood.","Pollution","High"
"Industrial plant discharging pungent chemical stench making local school children vomit and complain of severe dizziness.","Pollution","High"
"Pungent chemical chlorine gas leaking from industrial chemical cylinder, cloud spreading into neighborhood, residents suffocating!","Pollution","Critical"
"Toxic chemical tanker overturned, spraying concentrated corrosive ammonia gas into densely populated market area!","Pollution","Critical"
"Deadly poisonous gas leak from chemical storage facility, hundreds of people collapsing on streets gasping for air!","Pollution","Critical"
"Industrial plant illegally venting cyanide fumes, widespread asphyxiation emergency declared across city block!","Pollution","Critical"
"Catastrophic radioactive or toxic pesticide explosion at chemical warehouse, dense toxic cloud descending on residential township!","Pollution","Critical"
